"HBID","dti_jlf_rd_L_Limbic_Lobe_WM","dti_jlf_rd_L_Insular_Lobe_WM","dti_jlf_rd_L_Frontal_Lobe_WM","dti_jlf_rd_L_Parietal_Lobe_WM","dti_jlf_rd_L_Occipital_Lobe_WM","dti_jlf_rd_L_Temporal_Lobe_WM","dti_jlf_rd_R_Limbic_Lobe_WM","dti_jlf_rd_R_Insular_Lobe_WM","dti_jlf_rd_R_Frontal_Lobe_WM","dti_jlf_rd_R_Parietal_Lobe_WM","dti_jlf_rd_R_Occipital_Lobe_WM","dti_jlf_rd_R_Temporal_Lobe_WM"
3162048950,0.64708,0.61204,0.71276,0.72173,0.69609,0.65731,0.64853,0.6083,0.72038,0.71004,0.68091,0.66495
732042068,0.61393,0.53871,0.6388,0.64544,0.70258,0.61921,0.61231,0.53725,0.65111,0.67797,0.70244,0.61396
2900814674,0.56915,0.54749,0.63741,0.62771,0.66135,0.60427,0.5694,0.54456,0.64048,0.65039,0.66675,0.61496
795800665,0.6285,0.51085,0.5997,0.62917,0.65746,0.58628,0.66857,0.53822,0.59618,0.64876,0.68762,0.60113
914447179,0.5645,0.5484,0.63732,0.6425,0.66533,0.60569,0.56691,0.55385,0.65433,0.64723,0.65831,0.62035
4228371801,0.55058,0.5367,0.60769,0.60146,0.63298,0.60675,0.55187,0.54512,0.61617,0.61177,0.64158,0.60833
261272145,0.57344,0.55657,0.61535,0.63605,0.66584,0.6069,0.56315,0.56457,0.6185,0.64772,0.63653,0.61107
699738373,0.56593,0.5425,0.61897,0.64705,0.66503,0.61515,0.57883,0.54671,0.61637,0.64988,0.65436,0.62827
219898619,0.57139,0.57509,0.66395,0.65945,0.67338,0.6386,0.57625,0.57734,0.66372,0.67244,0.68372,0.645
2669508147,0.62297,0.5498,0.64118,0.67465,0.71594,0.62215,0.63126,0.55021,0.64866,0.67743,0.72121,0.64015
779771657,,,,,,,,,,,,
461703375,0.55801,0.54046,0.62172,0.62677,0.6657,0.61685,0.55583,0.54196,0.61713,0.64725,0.66103,0.62473
2496566214,0.68965,0.63024,0.70952,0.73552,0.705,0.70292,0.73048,0.62943,0.69694,0.73949,0.7043,0.68814
1464777465,0.63181,0.57461,0.66338,0.66969,0.73674,0.63215,0.62795,0.56555,0.6581,0.6857,0.73742,0.63253
1221629551,0.57394,0.55414,0.63333,0.62486,0.66038,0.60861,0.5803,0.55856,0.63476,0.63375,0.65246,0.62111
3332151128,0.56121,0.5467,0.62227,0.59933,0.63546,0.59547,0.55642,0.54495,0.61907,0.615,0.61673,0.60899
3949880436,0.57446,0.54535,0.63144,0.6397,0.65338,0.60733,0.58028,0.54487,0.62709,0.64155,0.62537,0.62376
304603048,0.67371,0.59719,0.67218,0.70179,0.74425,0.65167,0.66542,0.59185,0.67728,0.71124,0.71802,0.65161
632287444,0.58955,0.58068,0.6436,0.66744,0.67133,0.61333,0.6068,0.56862,0.64577,0.68,0.66411,0.62387
2000157058,0.62759,0.58305,0.6851,0.67487,0.72229,0.66271,0.6267,0.59515,0.68991,0.68514,0.71675,0.67778
3951113322,0.60952,0.57154,0.66549,0.67154,0.70481,0.63657,0.61678,0.57402,0.64701,0.67435,0.68421,0.65671
2246837560,0.57717,0.52633,0.62951,0.62568,0.69874,0.59593,0.57407,0.52218,0.627,0.6309,0.69358,0.60684
3137945521,0.61128,0.56476,0.64219,0.65221,0.67582,0.59725,0.60731,0.55287,0.63254,0.66072,0.64799,0.62294
2799506760,0.61084,0.56261,0.63259,0.66415,0.6682,0.61969,0.60255,0.55138,0.6232,0.67023,0.63816,0.63116
3637634316,0.60474,0.57695,0.62775,0.67217,0.69554,0.61383,0.61549,0.57776,0.62433,0.67262,0.66156,0.61959
